"protein"	"targetcluster"	"annotcluster"	"categorycluster"	"cluster.ref"	"targetsingle"	"annotsingle"	"categorysingle"	"annot"
"bin_03||F1M_NODE_35_length_2293_cov_2.212243_2"	"phrog_35700"	NA	"unknown function"	"bin_03||F4M_NODE_26_length_3770_cov_3.635801_6"	"phrog_35700"	NA	"unknown function"	"NA"
"bin_03||F4T1_NODE_35_length_4091_cov_3.231665_3"	"phrog_35700"	NA	"unknown function"	"bin_03||F4M_NODE_26_length_3770_cov_3.635801_6"	"phrog_35700"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_100"	"phrog_1649"	"metallo-phosphoesterase"	"other"	"YP_010112222.1"	"phrog_1649"	"metallo-phosphoesterase"	"other"	"metallo-phosphoesterase"
"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_1"	"phrog_29181"	NA	"unknown function"	"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_1"	NA	NA	NA	"NA"
"bin_41||F2M_NODE_13_length_16832_cov_10.453120_10"	"phrog_29181"	NA	"unknown function"	"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_1"	"phrog_26045"	NA	"unknown function"	"NA"
"bin_67||F3T2_NODE_14_length_17040_cov_17.432028_11"	"phrog_29181"	NA	"unknown function"	"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_1"	NA	NA	NA	"NA"
"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_13"	"phrog_29181"	NA	"unknown function"	"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_1"	"phrog_18704"	NA	"unknown function"	"NA"
"bin_07||F1T1_NODE_21_length_9108_cov_4.030156_6"	"phrog_29181"	NA	"unknown function"	"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_1"	"phrog_132"	"head-tail adaptor"	"connector"	"head-tail adaptor"
"bin_38||F2M_NODE_62_length_6069_cov_13.771866_3"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_38||F2M_NODE_62_length_6069_cov_13.771866_3"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_38||F2T1_NODE_6_length_7108_cov_4.665674_6"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_38||F2M_NODE_62_length_6069_cov_13.771866_3"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_00||F1M_NODE_34_length_2429_cov_2.721988_3"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_38||F2M_NODE_62_length_6069_cov_13.771866_3"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_18"	"phrog_5"	"tail completion or Neck1 protein"	"connector"	"YP_009603486.1"	"phrog_169"	"tail completion or Neck1 protein"	"connector"	"tail completion or Neck1 protein"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_13"	"phrog_5"	"tail completion or Neck1 protein"	"connector"	"YP_009603486.1"	"phrog_169"	"tail completion or Neck1 protein"	"connector"	"tail completion or Neck1 protein"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_3"	"phrog_4105"	NA	"unknown function"	"bin_36||F2M_NODE_8_length_25165_cov_22.640104_3"	"phrog_4105"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_28"	"phrog_4105"	NA	"unknown function"	"bin_36||F2M_NODE_8_length_25165_cov_22.640104_3"	"phrog_4105"	NA	"unknown function"	"NA"
"bin_05||F1T1_NODE_10_length_13616_cov_4.586535_20"	"phrog_4105"	NA	"unknown function"	"bin_36||F2M_NODE_8_length_25165_cov_22.640104_3"	"phrog_4105"	NA	"unknown function"	"NA"
"bin_00||F1M_NODE_28_length_3196_cov_2.546641_2"	"phrog_8193"	"major head protein"	"head and packaging"	"YP_009324579.1"	"phrog_8193"	"major head protein"	"head and packaging"	"major head protein"
"bin_38||F2M_NODE_42_length_8193_cov_14.303391_6"	"phrog_8193"	"major head protein"	"head and packaging"	"YP_009324579.1"	"phrog_8193"	"major head protein"	"head and packaging"	"major head protein"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_24"	"phrog_114"	"ATP-dependent DNA ligase"	"DNA, RNA and nucleotide metabolism"	"bin_35||F2M_NODE_11_length_20357_cov_5.705743_24"	"phrog_114"	"ATP-dependent DNA ligase"	"DNA, RNA and nucleotide metabolism"	"ATP-dependent DNA ligase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_71"	"phrog_114"	"ATP-dependent DNA ligase"	"DNA, RNA and nucleotide metabolism"	"bin_35||F2M_NODE_11_length_20357_cov_5.705743_24"	"phrog_114"	"ATP-dependent DNA ligase"	"DNA, RNA and nucleotide metabolism"	"ATP-dependent DNA ligase"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_14"	"phrog_114"	"ATP-dependent DNA ligase"	"DNA, RNA and nucleotide metabolism"	"bin_35||F2M_NODE_11_length_20357_cov_5.705743_24"	"phrog_114"	"ATP-dependent DNA ligase"	"DNA, RNA and nucleotide metabolism"	"ATP-dependent DNA ligase"
"bin_22||F1T2_NODE_6_length_14301_cov_30.775095_7"	"phrog_3586"	NA	"unknown function"	"bin_22||F1T2_NODE_6_length_14301_cov_30.775095_7"	"phrog_3586"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_33"	"phrog_6681"	"terminase large subunit"	"head and packaging"	"YP_010110869.1"	"phrog_6681"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_24"	"phrog_6681"	"terminase large subunit"	"head and packaging"	"YP_010110869.1"	"phrog_6681"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_75"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"YP_010097675.1"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"thymidylate synthase"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_10"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"YP_010097675.1"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"thymidylate synthase"
"bin_08||F1T1_NODE_83_length_2092_cov_2.305351_2"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"YP_010097675.1"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"thymidylate synthase"
"bin_35||F2M_NODE_10_length_22350_cov_5.950034_11"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"YP_010097675.1"	"phrog_85"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"thymidylate synthase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_58"	"phrog_12177"	NA	"unknown function"	"YP_010112100.1"	"phrog_12177"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_46"	"phrog_6444"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"YP_010110301.1"	"phrog_6444"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"DNA primase"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_96"	"phrog_6444"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"YP_010110301.1"	"phrog_6444"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"DNA primase"
"bin_08||F1T1_NODE_41_length_4955_cov_2.714490_3"	"phrog_6444"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"YP_010110301.1"	"phrog_12622"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"DNA primase"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_22"	"phrog_6444"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"YP_010110301.1"	NA	NA	NA	"DNA primase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_68"	"phrog_6444"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"YP_010110301.1"	"phrog_12622"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"DNA primase"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_116"	"phrog_64"	"portal protein"	"head and packaging"	"YP_009831874.1"	"phrog_104"	"portal protein"	"head and packaging"	"portal protein"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_12"	"phrog_312"	"Rz-like spanin"	"lysis"	"YP_009004685.1"	"phrog_312"	"Rz-like spanin"	"lysis"	"Rz-like spanin"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_13"	"phrog_10285"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"YP_009845391.1"	"phrog_10285"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_38"	"phrog_29507"	"virion structural protein"	"head and packaging"	"YP_008241559.1"	"phrog_29507"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_39"	"phrog_29507"	"virion structural protein"	"head and packaging"	"YP_008241559.1"	"phrog_29507"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_8"	"phrog_21057"	NA	"unknown function"	"bin_35||F2M_NODE_11_length_20357_cov_5.705743_8"	"phrog_21057"	NA	"unknown function"	"NA"
"bin_08||F3T2_NODE_59_length_2555_cov_6.756400_1"	"phrog_21057"	NA	"unknown function"	"bin_35||F2M_NODE_11_length_20357_cov_5.705743_8"	"phrog_19114"	NA	"unknown function"	"NA"
"bin_45||F2T1_NODE_15_length_5045_cov_4.625451_6"	"phrog_216"	"integrase"	"integration and excision"	"YP_009206326.1"	"phrog_216"	"integrase"	"integration and excision"	"integrase"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_31"	"phrog_216"	"integrase"	"integration and excision"	"YP_009206326.1"	"phrog_216"	"integrase"	"integration and excision"	"integrase"
"bin_24||F4M_NODE_49_length_2090_cov_2.030467_2"	"phrog_32444"	NA	"unknown function"	"bin_24||F4M_NODE_49_length_2090_cov_2.030467_2"	"phrog_24711"	NA	"unknown function"	"NA"
"bin_82||F4M_NODE_29_length_3339_cov_2.569428_2"	"phrog_32444"	NA	"unknown function"	"bin_24||F4M_NODE_49_length_2090_cov_2.030467_2"	"phrog_7021"	NA	"unknown function"	"NA"
"bin_15||F1T1_NODE_3_length_34133_cov_11.206438_17"	"phrog_3314"	NA	"unknown function"	"YP_009226709.1"	"phrog_3314"	NA	"unknown function"	"NA"
"bin_40||F2M_NODE_129_length_2597_cov_69.369788_2"	"phrog_16390"	NA	"unknown function"	"YP_010113452.1"	"phrog_29658"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_46"	"phrog_16390"	NA	"unknown function"	"YP_010113452.1"	NA	NA	NA	"NA"
"bin_22||F1T2_NODE_32_length_4279_cov_35.349905_3"	"phrog_16390"	NA	"unknown function"	"YP_010113452.1"	NA	NA	NA	"NA"
"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_24"	"phrog_6681"	"terminase large subunit"	"head and packaging"	"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_24"	"phrog_38407"	NA	"unknown function"	"terminase large subunit"
"bin_45||F4T1_NODE_32_length_4293_cov_12.877875_10"	"phrog_140"	"RusA-like Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"YP_358797.1"	"phrog_140"	"RusA-like Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"RusA-like Holliday junction resolvase"
"bin_83||F4M_NODE_31_length_3121_cov_2.123614_4"	"phrog_3270"	"head maturation protease"	"head and packaging"	"bin_83||F4M_NODE_31_length_3121_cov_2.123614_4"	"phrog_3270"	"head maturation protease"	"head and packaging"	"head maturation protease"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_22"	"phrog_3270"	"head maturation protease"	"head and packaging"	"bin_83||F4M_NODE_31_length_3121_cov_2.123614_4"	"phrog_3270"	"head maturation protease"	"head and packaging"	"head maturation protease"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_11"	"phrog_3270"	"head maturation protease"	"head and packaging"	"bin_83||F4M_NODE_31_length_3121_cov_2.123614_4"	"phrog_3270"	"head maturation protease"	"head and packaging"	"head maturation protease"
"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_5"	"phrog_10608"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_5"	"phrog_10608"	NA	"unknown function"	"NA"
"bin_17||F3M_NODE_12_length_7213_cov_3.918692_13"	"phrog_10608"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_5"	"phrog_10608"	NA	"unknown function"	"NA"
"bin_17||F1T1_NODE_64_length_2722_cov_2.299963_2"	"phrog_10608"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_5"	"phrog_10608"	NA	"unknown function"	"NA"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_39"	"phrog_10608"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_5"	"phrog_10608"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_40"	"phrog_192"	"DNA polymerase exonuclease subunit"	"DNA, RNA and nucleotide metabolism"	"YP_009010759.1"	"phrog_192"	"DNA polymerase exonuclease subunit"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase exonuclease subunit"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_31"	"phrog_192"	"DNA polymerase exonuclease subunit"	"DNA, RNA and nucleotide metabolism"	"YP_009010759.1"	"phrog_192"	"DNA polymerase exonuclease subunit"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase exonuclease subunit"
"bin_36||F2M_NODE_111_length_2954_cov_13.211797_2"	"phrog_29296"	NA	"unknown function"	"YP_009849509.1"	"phrog_8761"	NA	"unknown function"	"NA"
"bin_25||F2M_NODE_35_length_9690_cov_6.026362_15"	"phrog_29296"	NA	"unknown function"	"YP_009849509.1"	"phrog_8761"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_20"	NA	NA	NA	"YP_010110281.1"	"phrog_28288"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_58_length_6498_cov_22.529877_7"	"phrog_4787"	"single strand annealing protein"	"DNA, RNA and nucleotide metabolism"	"YP_009603158.1"	"phrog_4787"	"single strand annealing protein"	"DNA, RNA and nucleotide metabolism"	"single strand annealing protein"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_10"	"phrog_4787"	"single strand annealing protein"	"DNA, RNA and nucleotide metabolism"	"YP_009603158.1"	"phrog_4787"	"single strand annealing protein"	"DNA, RNA and nucleotide metabolism"	"single strand annealing protein"
"bin_41||F2M_NODE_13_length_16832_cov_10.453120_14"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"YP_009290183.1"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"dUTPase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_31"	"phrog_16294"	NA	"unknown function"	"YP_010110805.1"	NA	NA	NA	"NA"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_9"	"phrog_389"	"tail protein XkdN-like"	"tail"	"YP_007173614.1"	"phrog_389"	"tail protein XkdN-like"	"tail"	"tail protein XkdN-like"
"bin_23||F4M_NODE_42_length_2296_cov_2.123606_4"	"phrog_831"	NA	"unknown function"	"bin_23||F4M_NODE_42_length_2296_cov_2.123606_4"	"phrog_831"	NA	"unknown function"	"NA"
"bin_29||F1T2_NODE_61_length_2600_cov_244.004322_4"	"phrog_514"	"major head protein"	"head and packaging"	"YP_009259742.1"	"phrog_514"	"major head protein"	"head and packaging"	"major head protein"
"bin_50||F2T1_NODE_26_length_2538_cov_20.356021_2"	"phrog_514"	"major head protein"	"head and packaging"	"YP_009259742.1"	"phrog_514"	"major head protein"	"head and packaging"	"major head protein"
"bin_49||F2T1_NODE_25_length_2541_cov_32.454143_2"	"phrog_514"	"major head protein"	"head and packaging"	"YP_009259742.1"	"phrog_514"	"major head protein"	"head and packaging"	"major head protein"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_23"	"phrog_684"	"virion structural protein"	"head and packaging"	"NP_848225.1"	"phrog_684"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_08||F1T1_NODE_16_length_9756_cov_3.211009_8"	"phrog_298"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010111976.1"	"phrog_298"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"exonuclease"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_34"	"phrog_298"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010111976.1"	"phrog_298"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"exonuclease"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_39"	"phrog_298"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010111976.1"	"phrog_298"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"exonuclease"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_19"	"phrog_4771"	"DHH phosphoesterase"	"other"	"bin_04||F1M_NODE_4_length_46155_cov_6.789046_19"	"phrog_2484"	"RecJ-like ssDNA exonuclease"	"DNA, RNA and nucleotide metabolism"	"RecJ-like ssDNA exonuclease"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_13"	"phrog_4771"	"DHH phosphoesterase"	"other"	"bin_04||F1M_NODE_4_length_46155_cov_6.789046_19"	"phrog_4771"	"DHH phosphoesterase"	"other"	"DHH phosphoesterase"
"bin_03||F4T1_NODE_15_length_11612_cov_6.134377_3"	"phrog_415"	"polynucleotide kinase"	"other"	"YP_009316151.1"	"phrog_415"	"polynucleotide kinase"	"other"	"polynucleotide kinase"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_41"	"phrog_415"	"polynucleotide kinase"	"other"	"YP_009316151.1"	"phrog_415"	"polynucleotide kinase"	"other"	"polynucleotide kinase"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_8"	"phrog_365"	"tail protein"	"tail"	"YP_009032157.1"	"phrog_365"	"tail protein"	"tail"	"tail protein"
"bin_53||F2T2_NODE_34_length_4855_cov_9.307292_7"	"phrog_111"	"DNA methyltransferase"	"other"	"NP_043482.1"	"phrog_111"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_63||F3M_NODE_31_length_3825_cov_2.748011_4"	"phrog_21662"	NA	"unknown function"	"YP_009854832.1"	"phrog_21662"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_27"	"phrog_29986"	NA	"unknown function"	"YP_010111021.1"	NA	NA	NA	"NA"
"bin_39||F4T1_NODE_13_length_12920_cov_15.385931_15"	"phrog_1075"	"tRNA splicing ligase"	"DNA, RNA and nucleotide metabolism"	"YP_009596452.1"	"phrog_1075"	"tRNA splicing ligase"	"DNA, RNA and nucleotide metabolism"	"tRNA splicing ligase"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_21"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009594121.1"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"Dda-like helicase"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_3"	"phrog_16728"	NA	"unknown function"	"YP_008052645.1"	"phrog_16728"	NA	"unknown function"	"NA"
"bin_24||F4M_NODE_49_length_2090_cov_2.030467_3"	"phrog_4247"	"virion structural protein"	"head and packaging"	"YP_009797588.1"	"phrog_4247"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_53||F2T2_NODE_45_length_3402_cov_3.824619_2"	"phrog_50"	"DnaC-like helicase loader"	"DNA, RNA and nucleotide metabolism"	"bin_53||F2T2_NODE_45_length_3402_cov_3.824619_2"	"phrog_50"	"DnaC-like helicase loader"	"DNA, RNA and nucleotide metabolism"	"DnaC-like helicase loader"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_51"	"phrog_6444"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"YP_002300392.1"	"phrog_6444"	"DNA primase"	"DNA, RNA and nucleotide metabolism"	"DNA primase"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_11"	"phrog_1236"	"head protein"	"head and packaging"	"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_11"	"phrog_1236"	"head protein"	"head and packaging"	"head protein"
"bin_03||F4M_NODE_16_length_10246_cov_4.649985_7"	"phrog_14697"	NA	"unknown function"	"bin_03||F4M_NODE_16_length_10246_cov_4.649985_7"	"phrog_14697"	NA	"unknown function"	"NA"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_8"	"phrog_14697"	NA	"unknown function"	"bin_03||F4M_NODE_16_length_10246_cov_4.649985_7"	"phrog_14697"	NA	"unknown function"	"NA"
"bin_20||F4M_NODE_45_length_2150_cov_3.336993_3"	"phrog_590"	NA	"unknown function"	"NP_848217.1"	"phrog_590"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_34_length_4855_cov_9.307292_5"	"phrog_1167"	"phosphofructokinase"	"other"	"bin_53||F2T2_NODE_34_length_4855_cov_9.307292_5"	"phrog_474"	"phosphofructokinase"	"other"	"phosphofructokinase"
"bin_05||F1T1_NODE_43_length_4611_cov_3.309701_4"	"phrog_1167"	"phosphofructokinase"	"other"	"bin_53||F2T2_NODE_34_length_4855_cov_9.307292_5"	"phrog_1167"	"phosphofructokinase"	"other"	"phosphofructokinase"
"bin_15||F1T1_NODE_3_length_34133_cov_11.206438_20"	"phrog_3313"	NA	"unknown function"	"YP_008873481.1"	"phrog_3313"	NA	"unknown function"	"NA"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_18"	"phrog_14468"	NA	"unknown function"	"YP_010110907.1"	"phrog_22059"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_58"	"phrog_14468"	NA	"unknown function"	"YP_010110907.1"	"phrog_22059"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_22_length_6355_cov_9.583968_3"	"phrog_443"	"holin"	"lysis"	"bin_53||F2T2_NODE_22_length_6355_cov_9.583968_3"	"phrog_443"	"holin"	"lysis"	"holin"
"bin_33||F2M_NODE_49_length_7104_cov_3.414101_3"	"phrog_443"	"holin"	"lysis"	"bin_53||F2T2_NODE_22_length_6355_cov_9.583968_3"	"phrog_443"	"holin"	"lysis"	"holin"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_3"	"phrog_443"	"holin"	"lysis"	"bin_53||F2T2_NODE_22_length_6355_cov_9.583968_3"	"phrog_443"	"holin"	"lysis"	"holin"
"bin_54||F2T2_NODE_46_length_3242_cov_4.200188_6"	"phrog_12005"	NA	"unknown function"	"YP_010111192.1"	"phrog_12005"	NA	"unknown function"	"NA"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_11"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_11"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"dUTPase"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_10"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_11"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"dUTPase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_39"	"phrog_3322"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010113088.1"	NA	NA	NA	"endonuclease"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_89"	"phrog_3322"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010113088.1"	"phrog_3367"	NA	"unknown function"	"endonuclease"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_55"	NA	NA	NA	"YP_009052491.1"	"phrog_4085"	NA	"unknown function"	"NA"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_14"	NA	NA	NA	"YP_009052491.1"	"phrog_4085"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_62"	"phrog_18608"	NA	"unknown function"	"YP_010112542.1"	"phrog_18608"	NA	"unknown function"	"NA"
"bin_23||F4M_NODE_42_length_2296_cov_2.123606_3"	"phrog_4647"	NA	"unknown function"	"YP_512258.2"	"phrog_4647"	NA	"unknown function"	"NA"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_15"	"phrog_198"	"holin"	"lysis"	"YP_005098001.1"	"phrog_198"	"holin"	"lysis"	"holin"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_11"	"phrog_1284"	NA	"unknown function"	"YP_010080746.1"	"phrog_1284"	NA	"unknown function"	"NA"
"bin_37||F2M_NODE_113_length_2922_cov_46.970701_4"	"phrog_3751"	"membrane protein"	"moron, auxiliary metabolic gene and host takeover"	"YP_010112591.1"	"phrog_608"	"holin"	"lysis"	"holin"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_70"	"phrog_3751"	"membrane protein"	"moron, auxiliary metabolic gene and host takeover"	"YP_010112591.1"	"phrog_17313"	NA	"unknown function"	"membrane protein"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_56"	"phrog_28748"	"virion structural protein"	"head and packaging"	"YP_010113386.1"	"phrog_28748"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_157"	"phrog_16490"	NA	"unknown function"	"YP_010113126.1"	"phrog_16490"	NA	"unknown function"	"NA"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_55"	"phrog_16490"	NA	"unknown function"	"YP_010113126.1"	"phrog_16490"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_66"	"phrog_16490"	NA	"unknown function"	"YP_010113126.1"	"phrog_16490"	NA	"unknown function"	"NA"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_40"	"phrog_997"	"replication terminator"	"DNA, RNA and nucleotide metabolism"	"YP_010080202.1"	"phrog_997"	"replication terminator"	"DNA, RNA and nucleotide metabolism"	"replication terminator"
"bin_25||F2M_NODE_35_length_9690_cov_6.026362_8"	"phrog_16126"	NA	"unknown function"	"YP_009807293.1"	"phrog_16126"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_36_length_9459_cov_25.542960_3"	"phrog_16126"	NA	"unknown function"	"YP_009807293.1"	"phrog_16126"	NA	"unknown function"	"NA"
"bin_89||F4T1_NODE_20_length_6436_cov_31.125059_10"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"bin_89||F4T1_NODE_20_length_6436_cov_31.125059_10"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"Mu Gam-like end protection"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_20"	"phrog_6"	"baseplate protein"	"tail"	"YP_009219429.1"	"phrog_6"	"baseplate protein"	"tail"	"baseplate protein"
"bin_59||F3M_NODE_10_length_11092_cov_7.330887_1"	"phrog_72"	"NinB/ Orf homologous recombination mediator"	"DNA, RNA and nucleotide metabolism"	"bin_59||F3M_NODE_10_length_11092_cov_7.330887_1"	"phrog_72"	"NinB/ Orf homologous recombination mediator"	"DNA, RNA and nucleotide metabolism"	"NinB/ Orf homologous recombination mediator"
